10:52:08.262 [restartedMain] INFO  c.o.OrderManagementApplication - Starting OrderManagementApplication using Java 17.0.8.1 with PID 16464 (/home/arya/Downloads/order-management/target/classes started by arya in /home/arya/Downloads/order-management)
10:52:08.265 [restartedMain] INFO  c.o.OrderManagementApplication - No active profile set, falling back to 1 default profile: "default"
10:52:08.310 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:52:08.310 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:52:08.899 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:52:08.960 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 4 JPA repository interfaces.
10:52:09.552 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8135 (http)
10:52:09.562 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:52:09.562 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
10:52:09.611 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:52:09.612 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1301 ms
10:52:09.763 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.16.3 by Redgate
10:52:09.763 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
10:52:09.763 [restartedMain] INFO  o.f.c.i.license.VersionPrinter - 
10:52:09.773 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:52:09.941 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@26d94fb4
10:52:09.942 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:52:09.958 [restartedMain] INFO  o.f.c.i.d.base.BaseDatabaseType - Database: jdbc:postgresql://localhost:7654/order (PostgreSQL 15.3)
10:52:09.998 [restartedMain] INFO  o.f.core.internal.command.DbValidate - Successfully validated 8 migrations (execution time 00:00.023s)
10:52:10.056 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "migrations": 7
10:52:10.057 [restartedMain] INFO  o.f.core.internal.command.DbMigrate - Schema "migrations" is up to date. No migration necessary.
10:52:10.129 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:52:10.169 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.7.Final
10:52:10.171 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
10:52:10.273 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
